"english","chinese","partOfSpeech","exampleSentence","englishDefinition"
"Accordingly","因此;相應地","adv.","The rules have changed, and we must act accordingly.","in a way that is suitable to the situation; therefore"
"So","所以;因此","conj.","It was getting late, so we decided to go home.","for that reason; and therefore"
"For example","例如","phr.","Many fruits are healthy. For example, apples are full of fiber.","used to introduce something as an instance of what you mean"
"For instance","例如;舉例來說","phr.","Some animals sleep in winter. For instance, bears hibernate in caves.","as an example; for example"
"Such as","例如;像是","phr.","I enjoy team sports such as soccer and basketball.","used to give an example of something; including"
"To illustrate","為了說明","phr.","To illustrate, let me share a short story about my trip.","in order to make something clear by giving an example"
"Namely","即;也就是","adv.","Only one student passed the test, namely Peter.","that is to say; used to give exact details"
"In conclusion","總而言之","phr.","In conclusion, exercise is good for both the body and the mind.","used to introduce the final part of a talk or piece of writing"
"In short","簡言之","phr.","In short, the whole trip was a great success.","in a few words; to put it briefly"
"To sum up","總結來說","phr.","To sum up, we need more time and more money to finish this.","used to give a summary of what has been said"
"In summary","總之;概括而言","phr.","In summary, the plan is cheap, fast, and safe.","used to state the main points briefly"
"All in all","整體而言","phr.","All in all, it was a wonderful holiday by the sea.","considering everything; on the whole"
"Overall","整體上;總的來說","adv.","Overall, the students did very well this year.","considering everything; in general"
"On the whole","大體上","phr.","On the whole, I am happy with the test results.","generally; considering everything together"
"After all","畢竟","phr.","Don't be too hard on him; he is only a child, after all.","used to add a reason or to remind someone of an important fact"
"In brief","簡而言之","phr.","In brief, the meeting was a complete waste of time.","in a few words; briefly"
"First of all","首先","phr.","First of all, I want to thank all of my teachers.","before anything else; to begin with"
"Firstly","首先;第一","adv.","Firstly, we need to set a clear and simple goal.","used to introduce the first point in a list of reasons or ideas"
"Then","然後;接著","adv.","We had dinner, and then we watched a movie together.","after that; next in time or order"
"Next","接下來;其次","adv.","Mix the eggs first. Next, add the flour slowly.","immediately after; following in order"
"After that","之後;然後","phr.","We visited the museum. After that, we went to the park.","following that event; afterwards"
"Finally","最後;終於","adv.","Finally, after hours of hard work, the project was done.","after a long time; as the last point"
"At last","終於","phr.","At last, the long and cold winter was over.","after a long wait or delay; in the end"
"In the end","最後;結果","phr.","In the end, they decided to stay home for the weekend.","finally, after everything has been considered"
"Meanwhile","同時;與此同時","adv.","You set the table. Meanwhile, I will cook the soup.","at the same time; during this period"
"In the meantime","在此期間","phr.","The doctor will see you soon. In the meantime, please sit down.","in the time between now and a later event"
"At first","起初","phr.","At first, the job seemed hard, but it soon got easier.","in the beginning; at the start, before things change"
"Afterwards","之後;後來","adv.","We had lunch and went shopping afterwards.","at a later time; after that"
"Eventually","最終;終於","adv.","After many tries, he eventually passed the driving test.","in the end, especially after a long time or much effort"
"As soon as","一…就","conj.","Please call me as soon as you arrive home.","immediately when or after something happens"
"In fact","事實上","phr.","I'm not tired at all. In fact, I feel great.","used to add true or sometimes surprising information"
"As a matter of fact","事實上","phr.","As a matter of fact, I have met him once before.","in reality; used to add a true detail, often a surprising one"
"Indeed","的確;確實","adv.","The food was good. Indeed, it was the best I have ever had.","used to emphasize or confirm that something is true"
"Of course","當然","phr.","Of course, you may borrow my pen.","used to say yes politely or to show something is obvious"
"Above all","最重要的是","phr.","Above all, remember to stay safe during the trip.","most importantly; more than anything else"
"In particular","尤其;特別是","phr.","She loves fruit, in particular oranges and grapes.","especially; more than others"
"Especially","尤其;特別","adv.","I love animals, especially dogs.","more than usual; particularly"
"Similarly","同樣地","adv.","Cats need daily care. Similarly, dogs must be fed every day.","in almost the same way; likewise"
"Likewise","同樣地","adv.","He works very hard, and his sister does likewise.","in the same way; also"
"In the same way","同樣地","phr.","Plants need water. In the same way, they need plenty of sunlight.","using a similar method or for a similar reason; similarly"
"Otherwise","否則","adv.","Hurry up, otherwise we will miss the train.","or else; if not; if the situation were different"
"If so","如果是這樣","phr.","Are you coming to the party? If so, please let me know.","if that is the case"
"In that case","既然如此;那樣的話","phr.","You're feeling sick? In that case, you should go home and rest.","if that is true; under those conditions"
"In other words","換句話說","phr.","He was let go. In other words, he lost his job.","said in a different, often simpler way"
"That is to say","也就是說","phr.","We leave on Friday, that is to say, in just two days.","used to explain or restate something more clearly"
"Generally speaking","一般而言","phr.","Generally speaking, children need more sleep than adults.","in most cases; usually"
"According to","根據;按照","phr.","According to the news, it will rain tomorrow.","as stated or shown by a person or source"
"By the way","順帶一提","phr.","By the way, did you finish the report I asked for?","used to introduce a new or unrelated topic in conversation"
