english,chinese,partOfSpeech,exampleSentence,englishDefinition
no idea about,對…一無所知,phr.,I have no idea about the answer to this question.,To not know anything about something.
typically,通常、典型地,adv.,He typically wakes up at seven o'clock.,In a usual or normal way; most of the time.
in order to,為了,phr.,She studies hard in order to pass the exam.,For the purpose of doing something.
advanced,先進的、進階的,adj.,This is an advanced class for older students.,At a high or difficult level; very modern.
survive,倖存、生存,v.,Plants need water and light to survive.,"To continue to live, especially after danger."
forgive,原諒,v.,Please forgive me for being late.,To stop being angry at someone for a mistake.
unfortunately,不幸地、可惜,adv.,"Unfortunately, the game was canceled because of rain.",Used to say that something is sad or not lucky.
last for,持續（一段時間）,phr.,The movie will last for two hours.,To continue for a certain amount of time.
after all,畢竟、終究,phr.,Don't be too hard on him; he is only a child after all.,"Used to add a reason, or to say something is true in the end."
stand for,代表、象徵,phr.,The letters 'UK' stand for the United Kingdom.,To represent or mean something.
recover from,從…復原,phr.,It took a week to recover from the cold.,To get better again after being sick or upset.
as a result,因此、結果,phr.,"He didn't study, and as a result, he failed the test.",Because of something that happened before.
therefore,因此、所以,adv.,"It was raining; therefore, we stayed inside.",For that reason; because of that.
custom,習俗、風俗,n.,Giving red envelopes is a custom during Chinese New Year.,A usual way of doing things in a group or country.
make a living,謀生,phr.,He makes a living by selling fruit at the market.,To earn the money you need to live.
even though,即使、雖然,phr.,"Even though he was tired, he kept working.",In spite of the fact that; used to stress something surprising.
except for,除了…之外,phr.,Everyone came to the party except for Tom.,Not including; apart from.
torn apart,撕裂、分開,phr.,The old book was torn apart by the strong wind.,"Pulled into pieces, or separated by force."
required,必需的、規定的,adj.,A uniform is required at this school.,Needed by a rule or a situation.
skill,技能、技巧,n.,Reading is an important skill for students.,"The ability to do something well, learned through practice."
thus,因此、如此,adv.,"He practiced every day; thus, he became very good.",For this reason; in this way.
organize,組織、籌劃,v.,The teacher will organize a school trip.,To arrange or plan something carefully.
extremely,極為、非常,adv.,The soup was extremely hot.,To a very great degree.
handle,處理、把手,v./n.,She knows how to handle difficult problems.,"To deal with something, or the part of an object you hold."
cause,造成、原因,v./n.,Heavy rain can cause floods.,"To make something happen, or the reason something happens."
figure,數字、人物、體態,n.,"Sales went up, and the final figure surprised everyone.","A number, a shape, or an important person."
lack,缺乏,n./v.,The plant died because of a lack of water.,The state of not having enough of something.
risk,風險、危險,n./v.,Crossing the road without looking is a big risk.,The chance that something bad may happen.
damage,損害、損壞,n./v.,The storm caused a lot of damage to the houses.,Harm that makes something less good or broken.
district,區域、行政區,n.,They live in the shopping district of the city.,An area of a city or country.
prison,監獄,n.,The thief was sent to prison for two years.,A place where people are kept as a punishment for a crime.
attitude,態度,n.,She has a positive attitude toward learning.,The way you think and feel about something.
rule,規則、統治,n./v.,It is a rule to wear a helmet when riding a bike.,An instruction about what you can or cannot do.
construct,建造、構築,v.,Workers will construct a new bridge here.,To build something by putting parts together.
loft,閣樓、頂樓,n.,They keep old boxes in the loft.,A room or space just under the roof of a building.
site,地點、網站,n.,This is the site of the new library.,"A place where something is or happens, or a place on the internet."
local,當地的、本地的,adj.,We bought vegetables from the local market.,Belonging to the area near you.
former,從前的、前任的,adj.,Our former teacher moved to another city.,Happening or existing before now; previous.
recommend,推薦、建議,v.,I recommend this book to everyone.,To say that something is good and worth choosing.
study,研究、學習,v./n.,She wants to study science at college.,"To spend time learning about a subject, or research about it."
abuse,濫用、虐待,n./v.,We should never abuse animals.,"To use something in a wrong way, or to treat someone badly."
print,列印、印刷,v./n.,Please print the report for the meeting.,To put words or pictures on paper using a machine.
recently,最近,adv.,I recently moved to a new house.,Not long ago; in the near past.
experiencing,經歷、體驗,v.,The city is experiencing very hot weather.,Going through or feeling something that is happening.
error,錯誤,n.,There is a spelling error in your sentence.,A mistake; something done in the wrong way.
provide,提供,v.,The school will provide books for all students.,To give someone something they need.
issue,議題、問題,n.,Pollution is a serious issue in big cities.,An important topic or problem that people talk about.
curtain,窗簾,n.,She opened the curtain to let the sun in.,A piece of cloth hung over a window to block light.
hashtag,主題標籤（#）,n.,She added a hashtag to her photo on social media.,A word or phrase after the # sign used to mark a topic online.
product,產品,n.,This new phone is their best product.,Something that is made or grown to be sold.
consultant,顧問,n.,The company hired a consultant to improve sales.,An expert who gives advice in a special area.
specific,特定的、明確的,adj.,Please give me a specific time to meet.,Clear and exact; about one particular thing.
opinion,意見、看法,n.,"In my opinion, this is the best movie of the year.",What you think or believe about something.
square,正方形,n.,Draw a square on your paper.,A shape with four equal straight sides and four right angles.
rectangle,長方形,n.,A door is shaped like a rectangle.,"A shape with four straight sides and four right angles, longer than it is wide."
curve,曲線,n.,The road has a sharp curve ahead.,A line that bends smoothly without any sharp corners.
scale,規模、比例、磅秤,n.,The map is drawn to a small scale.,"The size of something, or a tool used to measure weight."
straight,直的、筆直地,adj./adv.,Draw a straight line with your ruler.,Going in one direction without bending.
complaint,抱怨、投訴,n.,The customer made a complaint about the cold food.,A statement that you are not happy about something.
connect,連接、連結,v.,This bridge connects the two towns.,To join two or more things together.
succeed,成功,v.,"If you keep trying, you will succeed.",To do what you wanted or planned to do.
form,形式、表格、形成,n./v.,Please fill in this form with your name.,"The shape or type of something, or to make something."
occur,發生,v.,Earthquakes often occur in this area.,"To happen, often without being planned."
principle,原則,n.,Honesty is an important principle in life.,A basic rule or belief that guides how you act.
fortunately,幸運地,adv.,"Fortunately, no one was hurt in the accident.",Used to say that something is lucky or good.
except,除了,prep.,The shop is open every day except Sunday.,Not including; other than.
silly,愚笨的、傻的,adj.,It was silly of me to forget my umbrella.,Not showing good sense; foolish in a fun way.
forgotten,忘記（forget 的過去分詞）,v.,I have forgotten his phone number.,Past participle of 'forget'; not remembered.
envy,羨慕、嫉妒,n./v.,She felt envy when she saw his new bike.,A feeling of wanting what someone else has.
previously,以前、先前,adv.,He previously lived in another country.,At an earlier time; before now.
narrow,狹窄的,adj.,The car could not pass through the narrow street.,Small in width; not wide.
decrease,減少,v./n.,The number of birds began to decrease in winter.,To become smaller in number or size.
map,地圖,n.,We used a map to find the museum.,A drawing that shows where places are.
slight,輕微的、些微的,adj.,There was a slight change in the weather.,Small in amount or degree; not serious.
professor,教授,n.,The professor gave an interesting lecture.,A teacher of the highest level at a university.
indicate,指出、顯示,v.,The sign indicates the way to the station.,To show or point out something.
offer,提供、給予,v./n.,He offered to carry my heavy bag.,To say you are willing to give or do something.
supply,供應、供給,v./n.,The store supplies fresh bread every morning.,To give or provide something that is needed.
beyond,超越、在…之外,prep.,The mountains lie beyond the river.,On the far side of; more than.
display,展示、陳列,v./n.,The shop will display its new toys in the window.,To put something where people can see it.
addition,增加、加法,n.,The new addition to the house is a big kitchen.,"The act of adding something, or putting numbers together."
in order,按順序、整齊,phr.,Please put the books in order on the shelf.,Arranged in a correct or neat way.
beyond number,不計其數,phr.,The stars in the sky seemed beyond number.,Too many to be counted.
examine,檢查、檢驗,v.,The doctor will examine your eyes.,To look at something carefully.
purchase,購買,v./n.,She made a purchase at the bookstore.,To buy something.
operate,操作、運作,v.,Do you know how to operate this machine?,"To make a machine work, or to work in a certain way."
besides,此外、除了,adv./prep.,"Besides English, she also speaks French.",In addition to; also.
perhaps,也許、可能,adv.,Perhaps it will rain later today.,Maybe; possibly.
refuse,拒絕,v.,He refused to share his toys.,To say firmly that you will not do or accept something.
take over,接管、接手,phr.,She will take over the team next month.,To take control of something.
refer to,提及、參考,phr.,Please refer to page ten for the answer.,"To mention something, or to look at it for information."
routine,例行公事、慣例,n.,Brushing my teeth is part of my morning routine.,A fixed way of doing things in the same order each time.
emphasize,強調,v.,The teacher emphasized the need to study every day.,To show that something is very important.
solution,解決方法、溶液,n.,We finally found a solution to the problem.,A way to solve a problem.
steady,穩定的、平穩的,adj.,Hold the ladder steady while I climb.,Firm and not shaking; not changing suddenly.
pleasure,樂趣、愉快,n.,It is a pleasure to meet you.,A happy or enjoyable feeling.
come down,下降、下來,phr.,Prices usually come down after the holiday.,"To move to a lower place, or to become lower."
division,部門、分割、除法,n.,He works in the sales division of the company.,"A part of a larger group, or the act of splitting something."
whatever,無論什麼,pron.,You can choose whatever you like for dinner.,Anything or everything; no matter what.
in other words,換句話說,phr.,"He is frugal; in other words, he saves a lot of money.",Used to explain something again in a clearer way.
attractive,吸引人的,adj.,The garden looked very attractive in spring.,Pleasant to look at or interesting.
storm,暴風雨,n.,The storm knocked down several trees.,Very bad weather with strong wind and rain.
region,地區、區域,n.,This region is famous for its fruit.,A large area of land.
tasted,嚐起來、品嚐（taste 的過去式）,v.,The soup tasted delicious.,"Past form of 'taste'; had a certain flavor, or tried food."
relationship,關係,n.,They have a close relationship with their grandparents.,The way two or more people or things are connected.
tourism,旅遊業、觀光,n.,Tourism brings a lot of money to the island.,The business of helping people travel and visit places.
deserve,應得、值得,v.,"After working hard, you deserve a rest.",To have earned something because of your actions.
furthermore,此外、再者,adv.,"The hotel is cheap; furthermore, it is near the beach.",In addition; also used to add another point.
as long as,只要,phr.,You can go out as long as you finish your homework.,On the condition that; if.
due to,由於、因為,phr.,The flight was late due to bad weather.,Because of something.
connection,連接、關聯,n.,There is a connection between exercise and good health.,A link or relationship between things.
promote,推廣、促進、升遷,v.,The poster is used to promote the new movie.,To help something grow or become more popular.
servant,僕人,n.,The servant brought tea to the guests.,A person who works in someone else's house doing jobs.
speech,演講、言語,n.,The principal gave a speech at the ceremony.,A talk given to a group of people.
easily,容易地、輕易地,adv.,She can easily solve this math problem.,Without difficulty.
fully,充分地、完全地,adv.,I fully understand what you mean.,Completely; in every way.
barely,幾乎不、勉強,adv.,It was so dark that I could barely see.,Almost not; only just.
awake,清醒的、醒著的,adj.,The baby is still awake at midnight.,Not sleeping.
regretted,後悔（regret 的過去式）,v.,He regretted not studying for the test.,Past form of 'regret'; felt sorry about something.
instrument,樂器、儀器,n.,The violin is her favorite instrument.,A tool used to make music or to do careful work.
giant,巨人、巨大的,n./adj.,"In the story, a giant lived on the mountain.",A very large person or thing.
comparison,比較,n.,"In comparison, the first plan is much better.",The act of looking at how things are alike or different.
position,位置、職位,n.,Please move the chair to a better position.,The place where someone or something is.
ever since,自從,phr.,We have been friends ever since we were kids.,From a time in the past until now.
whenever,無論何時、每當,conj.,Call me whenever you need help.,At any or every time that.
publish,出版、發布,v.,The writer will publish her new book next month.,To print a book or put information out for people to read.
strength,力量、長處,n.,Teamwork is the strength of our class.,"The quality of being strong, in body or in skill."
manage to,設法做到,phr.,She managed to finish the work on time.,To succeed in doing something difficult.
lead to,導致、通往,phr.,Eating too much sugar can lead to health problems.,"To cause something to happen, or to go toward a place."
run into,偶然遇到、撞上,phr.,I ran into an old friend at the mall.,"To meet someone by chance, or to hit something."
raise,提高、舉起、養育,v.,Please raise your hand if you know the answer.,To lift something up or to make it higher.
failure,失敗,n.,Failure is a part of learning.,A lack of success.
criticize,批評,v.,"It is easy to criticize, but harder to help.",To say what is wrong with someone or something.
result,結果,n.,The result of the game made everyone happy.,Something that happens because of an action or event.
be known as,以…聞名、被稱為,phr.,Paris is known as the city of love.,To be famous or called by a certain name.
tasty,美味的,adj.,This is the tastiest cake I have ever eaten.,Having a good taste; delicious.
not only...but also,不僅…而且,phr.,She is not only smart but also very kind.,"Used to add a second, often surprising, point to the first."
expose,暴露、揭發,v.,The report exposed the truth about the problem.,"To show something that was hidden, or to let it be seen."
eventually,最終、終於,adv.,"After many tries, he eventually solved the puzzle.",In the end; after a long time.
find out,查明、發現,phr.,Let's find out who won the game.,To learn something by looking for information.
lose,失去、輸,v.,Be careful not to lose your keys.,"To no longer have something, or to not win."
mark,標記、記號,v./n.,Please mark your name on the paper.,"To make a sign on something, or the sign itself."
have a massage,做按摩,phr.,"After the long trip, she went to have a massage.",To get a treatment of rubbing the body to relax muscles.
born,出生,v./adj.,He was born in a small village.,Brought into life; when a baby comes into the world.
ban sb from V-ing,禁止某人做某事,phr.,The school will ban students from using phones in class.,To officially say that someone is not allowed to do something.
private,私人的、私下的,adj.,"This is a private room, so please knock first.",Only for one person or group; not public.
average,平均的、一般的,adj./n.,The average temperature in summer is very high.,"The usual amount, or a number found by sharing a total equally."
advise,建議、勸告,v.,The doctor advised him to rest more.,To tell someone what you think they should do.
expected,預期的、期望的,adj./v.,The bus arrived at the expected time.,Thought likely to happen or come.
toward,朝向、對於,prep.,She walked toward the door.,In the direction of someone or something.
decade,十年,n.,They have lived here for a decade.,A period of ten years.
